angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.18,,"[251, 71, 80, 106]",,0.0,,0.05,,0.13,,0.23,,0.4,,0.0,
0.22,,"[253, 72, 79, 106]",,0.0,,0.04,,0.08,,0.17,,0.49,,0.0,
0.12,,"[251, 71, 79, 106]",,0.0,,0.06,,0.05,,0.27,,0.49,,0.0,
0.12,,"[251, 69, 78, 105]",,0.0,,0.03,,0.06,,0.3,,0.49,,0.0,
0.08,,"[253, 71, 78, 105]",,0.0,,0.04,,0.07,,0.2,,0.6,,0.0,
0.11,,"[254, 71, 78, 105]",,0.0,,0.04,,0.11,,0.16,,0.58,,0.0,
0.13,,"[255, 71, 78, 105]",,0.0,,0.05,,0.09,,0.25,,0.47,,0.0,
0.14,,"[255, 70, 76, 104]",,0.0,,0.03,,0.13,,0.43,,0.27,,0.0,
0.15,,"[255, 70, 77, 104]",,0.0,,0.03,,0.17,,0.38,,0.26,,0.0,
0.13,,"[256, 70, 77, 104]",,0.0,,0.03,,0.25,,0.24,,0.34,,0.0,
0.14,,"[257, 70, 76, 103]",,0.0,,0.04,,0.14,,0.2,,0.48,,0.0,
0.14,,"[258, 71, 76, 103]",,0.0,,0.04,,0.08,,0.33,,0.41,,0.0,
0.15,,"[258, 72, 78, 106]",,0.0,,0.1,,0.1,,0.19,,0.45,,0.0,
0.1,,"[262, 71, 83, 108]",,0.0,,0.05,,0.04,,0.27,,0.54,,0.0,
0.13,,"[264, 70, 83, 108]",,0.0,,0.04,,0.02,,0.16,,0.65,,0.0,
0.16,,"[261, 71, 83, 107]",,0.0,,0.06,,0.03,,0.19,,0.56,,0.0,
0.12,,"[263, 68, 78, 106]",,0.0,,0.05,,0.02,,0.33,,0.48,,0.01,
0.08,,"[266, 71, 85, 109]",,0.0,,0.03,,0.01,,0.2,,0.67,,0.0,
0.07,,"[267, 70, 85, 110]",,0.0,,0.05,,0.02,,0.2,,0.66,,0.0,
0.06,,"[268, 71, 81, 106]",,0.0,,0.04,,0.02,,0.2,,0.68,,0.0,
0.05,,"[269, 71, 80, 105]",,0.0,,0.05,,0.01,,0.19,,0.69,,0.0,
0.05,,"[273, 70, 82, 107]",,0.0,,0.04,,0.02,,0.23,,0.66,,0.0,
0.04,,"[274, 71, 77, 102]",,0.0,,0.04,,0.01,,0.14,,0.77,,0.01,
0.05,,"[275, 69, 79, 105]",,0.0,,0.05,,0.01,,0.09,,0.8,,0.0,
0.01,,"[280, 74, 79, 103]",,0.0,,0.02,,0.01,,0.14,,0.81,,0.0,
0.05,,"[278, 71, 80, 105]",,0.0,,0.05,,0.01,,0.08,,0.81,,0.0,
0.05,,"[279, 70, 80, 107]",,0.0,,0.04,,0.01,,0.08,,0.82,,0.0,
0.04,,"[279, 71, 81, 106]",,0.0,,0.05,,0.0,,0.07,,0.84,,0.0,
0.09,,"[279, 71, 81, 107]",,0.0,,0.07,,0.01,,0.07,,0.75,,0.0,
0.03,,"[281, 75, 82, 103]",,0.0,,0.03,,0.0,,0.17,,0.77,,0.0,
0.03,,"[281, 76, 82, 104]",,0.0,,0.03,,0.0,,0.18,,0.75,,0.0,
0.03,,"[281, 76, 81, 104]",,0.0,,0.03,,0.0,,0.2,,0.73,,0.0,
0.03,,"[285, 81, 76, 96]",,0.0,,0.01,,0.0,,0.13,,0.83,,0.0,
0.09,,"[280, 79, 81, 105]",,0.01,,0.04,,0.0,,0.13,,0.72,,0.0,
0.04,,"[281, 79, 81, 103]",,0.0,,0.02,,0.0,,0.21,,0.72,,0.0,
0.01,,"[281, 81, 80, 102]",,0.0,,0.01,,0.0,,0.35,,0.62,,0.0,
0.01,,"[281, 79, 82, 104]",,0.0,,0.01,,0.0,,0.34,,0.64,,0.0,
0.01,,"[280, 79, 83, 104]",,0.0,,0.01,,0.0,,0.35,,0.63,,0.0,
0.02,,"[279, 77, 83, 107]",,0.0,,0.02,,0.0,,0.29,,0.66,,0.0,
0.02,,"[278, 77, 84, 107]",,0.0,,0.02,,0.0,,0.29,,0.67,,0.0,
0.05,,"[277, 85, 80, 101]",,0.0,,0.04,,0.0,,0.27,,0.64,,0.0,
0.06,,"[278, 81, 80, 104]",,0.0,,0.03,,0.0,,0.32,,0.58,,0.0,
0.07,,"[277, 77, 84, 108]",,0.0,,0.03,,0.01,,0.28,,0.61,,0.0,
0.04,,"[277, 77, 84, 107]",,0.0,,0.02,,0.0,,0.31,,0.63,,0.0,
0.06,,"[277, 77, 84, 107]",,0.0,,0.02,,0.0,,0.27,,0.65,,0.0,
0.06,,"[277, 76, 84, 108]",,0.0,,0.03,,0.0,,0.22,,0.69,,0.0,
0.05,,"[278, 76, 83, 107]",,0.0,,0.02,,0.0,,0.24,,0.68,,0.0,
0.07,,"[278, 76, 84, 107]",,0.0,,0.02,,0.0,,0.17,,0.74,,0.0,
0.04,,"[278, 75, 84, 107]",,0.0,,0.02,,0.0,,0.27,,0.66,,0.0,
0.05,,"[278, 75, 84, 107]",,0.0,,0.02,,0.0,,0.3,,0.62,,0.0,
0.04,,"[277, 76, 84, 106]",,0.0,,0.03,,0.01,,0.3,,0.62,,0.0,
0.05,,"[277, 76, 84, 107]",,0.0,,0.02,,0.01,,0.29,,0.63,,0.0,
0.03,,"[277, 77, 83, 106]",,0.0,,0.02,,0.01,,0.3,,0.64,,0.0,
0.02,,"[277, 78, 83, 105]",,0.0,,0.01,,0.01,,0.39,,0.57,,0.0,
0.02,,"[277, 78, 83, 104]",,0.0,,0.01,,0.01,,0.28,,0.68,,0.0,
0.04,,"[277, 79, 82, 104]",,0.0,,0.02,,0.02,,0.35,,0.57,,0.0,
0.05,,"[277, 80, 82, 102]",,0.0,,0.04,,0.02,,0.37,,0.51,,0.0,
0.02,0.18,"[283, 79, 77, 97]","[50, 208, 22, 33]",0.0,0.05,0.04,0.09,0.01,0.02,0.1,0.08,0.81,0.54,0.0,0.04
0.05,,"[279, 70, 83, 106]",,0.02,,0.1,,0.15,,0.1,,0.48,,0.1,
0.11,,"[277, 66, 89, 112]",,0.0,,0.05,,0.32,,0.05,,0.38,,0.08,
0.09,,"[277, 63, 88, 112]",,0.0,,0.04,,0.54,,0.14,,0.18,,0.02,
0.11,,"[278, 69, 84, 107]",,0.0,,0.06,,0.61,,0.14,,0.07,,0.01,
0.04,,"[270, 62, 86, 110]",,0.0,,0.01,,0.81,,0.09,,0.05,,0.0,
0.17,,"[268, 62, 84, 107]",,0.0,,0.01,,0.65,,0.09,,0.07,,0.0,
0.57,,"[262, 64, 82, 107]",,0.0,,0.04,,0.16,,0.06,,0.18,,0.0,
0.21,,"[263, 67, 83, 104]",,0.0,,0.03,,0.06,,0.46,,0.24,,0.0,
0.2,,"[266, 70, 83, 103]",,0.0,,0.03,,0.08,,0.46,,0.23,,0.0,
0.16,0.16,"[271, 69, 86, 109]","[50, 208, 21, 31]",0.0,0.05,0.01,0.06,0.27,0.04,0.4,0.11,0.15,0.55,0.0,0.03
0.1,,"[280, 65, 85, 111]",,0.0,,0.03,,0.56,,0.07,,0.2,,0.04,
0.07,,"[289, 63, 81, 105]",,0.0,,0.03,,0.37,,0.05,,0.45,,0.04,
0.05,,"[297, 62, 88, 114]",,0.0,,0.03,,0.74,,0.01,,0.12,,0.05,
0.08,,"[305, 58, 87, 114]",,0.0,,0.03,,0.71,,0.03,,0.14,,0.01,
0.16,,"[314, 57, 90, 114]",,0.0,,0.02,,0.46,,0.26,,0.1,,0.0,
0.28,,"[319, 60, 82, 106]",,0.0,,0.05,,0.2,,0.13,,0.32,,0.01,
0.4,,"[323, 60, 81, 105]",,0.0,,0.1,,0.07,,0.17,,0.24,,0.01,
0.45,,"[323, 60, 81, 106]",,0.0,,0.13,,0.08,,0.11,,0.2,,0.01,
0.77,,"[320, 55, 95, 124]",,0.0,,0.15,,0.04,,0.01,,0.03,,0.01,
0.5,,"[316, 57, 92, 118]",,0.0,,0.1,,0.13,,0.14,,0.11,,0.01,
0.21,,"[313, 58, 84, 112]",,0.0,,0.03,,0.03,,0.49,,0.23,,0.0,
0.19,,"[303, 59, 85, 111]",,0.0,,0.03,,0.03,,0.41,,0.34,,0.0,
0.07,,"[296, 61, 83, 106]",,0.0,,0.02,,0.04,,0.62,,0.25,,0.0,
0.05,,"[290, 60, 86, 107]",,0.0,,0.01,,0.09,,0.62,,0.23,,0.0,
0.05,,"[281, 60, 82, 103]",,0.0,,0.01,,0.15,,0.62,,0.17,,0.0,
0.11,,"[281, 63, 82, 104]",,0.0,,0.02,,0.14,,0.27,,0.46,,0.0,
0.53,,"[277, 60, 84, 109]",,0.0,,0.05,,0.16,,0.04,,0.21,,0.0,
0.32,,"[282, 61, 84, 109]",,0.01,,0.06,,0.43,,0.01,,0.16,,0.01,
0.01,,"[285, 58, 84, 109]",,0.0,,0.0,,0.95,,0.01,,0.02,,0.0,
0.02,,"[291, 60, 84, 109]",,0.0,,0.0,,0.84,,0.08,,0.06,,0.0,
0.06,,"[296, 59, 85, 111]",,0.0,,0.01,,0.7,,0.14,,0.09,,0.0,
0.12,,"[301, 57, 88, 115]",,0.0,,0.02,,0.67,,0.04,,0.14,,0.01,
0.03,,"[306, 58, 82, 112]",,0.0,,0.01,,0.9,,0.0,,0.02,,0.02,
0.02,,"[306, 58, 83, 111]",,0.0,,0.01,,0.95,,0.01,,0.01,,0.01,
0.02,,"[304, 57, 84, 113]",,0.0,,0.01,,0.93,,0.01,,0.02,,0.0,
0.05,,"[301, 58, 87, 113]",,0.0,,0.01,,0.77,,0.09,,0.08,,0.0,
0.07,,"[294, 58, 87, 112]",,0.0,,0.02,,0.63,,0.19,,0.09,,0.0,
0.03,,"[289, 55, 83, 108]",,0.0,,0.01,,0.66,,0.18,,0.12,,0.0,
0.02,,"[282, 60, 84, 109]",,0.0,,0.01,,0.88,,0.05,,0.04,,0.0,
0.03,,"[278, 58, 84, 110]",,0.0,,0.01,,0.91,,0.01,,0.04,,0.01,
0.24,,"[272, 58, 86, 109]",,0.0,,0.04,,0.51,,0.02,,0.19,,0.0,
0.14,,"[270, 59, 84, 105]",,0.0,,0.01,,0.63,,0.06,,0.15,,0.0,
0.25,,"[272, 60, 82, 101]",,0.0,,0.03,,0.15,,0.17,,0.39,,0.0,
0.24,,"[274, 58, 82, 103]",,0.0,,0.03,,0.15,,0.31,,0.27,,0.0,
0.1,,"[278, 57, 83, 105]",,0.0,,0.02,,0.13,,0.61,,0.13,,0.0,
0.06,,"[281, 54, 87, 109]",,0.0,,0.01,,0.07,,0.72,,0.14,,0.0,
0.06,,"[287, 57, 83, 106]",,0.0,,0.01,,0.11,,0.61,,0.2,,0.0,
0.23,,"[289, 53, 93, 121]",,0.0,,0.05,,0.1,,0.38,,0.23,,0.0,
0.23,,"[295, 57, 85, 115]",,0.02,,0.08,,0.27,,0.12,,0.26,,0.02,
0.06,,"[300, 56, 83, 112]",,0.01,,0.05,,0.17,,0.15,,0.55,,0.02,
0.14,,"[303, 57, 87, 115]",,0.0,,0.05,,0.5,,0.06,,0.23,,0.02,
0.13,,"[301, 53, 92, 123]",,0.0,,0.05,,0.48,,0.07,,0.25,,0.01,
0.2,,"[301, 54, 90, 121]",,0.0,,0.05,,0.47,,0.05,,0.22,,0.01,
0.08,,"[302, 56, 82, 110]",,0.0,,0.06,,0.11,,0.08,,0.64,,0.03,
0.28,,"[294, 55, 90, 119]",,0.0,,0.06,,0.28,,0.12,,0.26,,0.01,
0.09,,"[292, 58, 90, 117]",,0.0,,0.03,,0.62,,0.14,,0.12,,0.01,
0.21,,"[289, 55, 88, 119]",,0.0,,0.04,,0.13,,0.29,,0.31,,0.0,
0.11,,"[287, 60, 86, 111]",,0.0,,0.02,,0.12,,0.54,,0.22,,0.0,
0.09,,"[284, 59, 88, 112]",,0.0,,0.01,,0.15,,0.49,,0.26,,0.0,
0.13,,"[282, 58, 88, 114]",,0.0,,0.02,,0.15,,0.46,,0.24,,0.0,
0.14,,"[281, 57, 89, 115]",,0.0,,0.02,,0.16,,0.39,,0.3,,0.0,
0.12,,"[282, 58, 88, 112]",,0.0,,0.02,,0.18,,0.41,,0.28,,0.0,
0.11,,"[282, 59, 88, 112]",,0.0,,0.02,,0.18,,0.4,,0.28,,0.0,
0.06,,"[285, 56, 83, 110]",,0.0,,0.02,,0.1,,0.38,,0.44,,0.0,
0.04,,"[282, 59, 87, 113]",,0.0,,0.03,,0.04,,0.35,,0.54,,0.0,
0.03,,"[283, 63, 85, 110]",,0.0,,0.02,,0.02,,0.3,,0.62,,0.0,
0.04,,"[283, 65, 85, 110]",,0.0,,0.01,,0.01,,0.37,,0.57,,0.0,
0.05,,"[282, 66, 84, 107]",,0.0,,0.02,,0.01,,0.52,,0.4,,0.0,
0.03,,"[279, 60, 84, 107]",,0.0,,0.04,,0.01,,0.24,,0.66,,0.0,
0.03,,"[275, 61, 87, 110]",,0.0,,0.03,,0.01,,0.38,,0.54,,0.0,
0.16,,"[273, 65, 87, 112]",,0.0,,0.05,,0.0,,0.42,,0.36,,0.0,
0.18,,"[268, 64, 88, 114]",,0.0,,0.03,,0.0,,0.57,,0.21,,0.0,
0.21,,"[261, 64, 87, 113]",,0.0,,0.02,,0.0,,0.62,,0.15,,0.0,
0.19,,"[257, 65, 82, 109]",,0.0,,0.02,,0.0,,0.68,,0.11,,0.0,
0.13,,"[254, 66, 83, 109]",,0.0,,0.02,,0.0,,0.66,,0.19,,0.0,
0.13,,"[248, 70, 83, 104]",,0.0,,0.02,,0.0,,0.65,,0.2,,0.0,
0.13,,"[242, 65, 83, 110]",,0.0,,0.03,,0.0,,0.61,,0.22,,0.0,
0.28,,"[239, 64, 86, 113]",,0.0,,0.05,,0.01,,0.52,,0.14,,0.0,
0.11,,"[236, 69, 83, 106]",,0.0,,0.04,,0.01,,0.7,,0.13,,0.0,
0.06,,"[231, 65, 86, 112]",,0.0,,0.02,,0.0,,0.81,,0.1,,0.0,
0.23,,"[230, 64, 85, 112]",,0.0,,0.05,,0.0,,0.57,,0.14,,0.0,
0.04,,"[227, 67, 84, 108]",,0.0,,0.03,,0.06,,0.77,,0.09,,0.0,
0.21,,"[224, 68, 85, 106]",,0.0,,0.06,,0.03,,0.35,,0.35,,0.0,
